255,128,64,0,0,0,0,0,0,0,0,0,0,0,0,0
128,255,128,64,0,0,0,0,0,0,0,0,0,0,0,0
64,128,255,128,64,0,0,0,0,0,0,0,0,0,0,0
0,64,128,255,128,64,0,0,0,0,0,0,0,0,0,0
0,0,64,128,255,128,64,0,0,0,0,0,0,0,0,0
0,0,0,64,128,255,128,64,0,0,0,0,0,0,0,0
0,0,0,0,64,128,255,128,64,0,0,0,0,0,0,0
0,0,0,0,0,64,128,255,128,64,0,0,0,0,0,0
0,0,0,0,0,0,64,128,255,128,64,0,0,0,0,0
0,0,0,0,0,0,0,64,128,255,128,64,0,0,0,0
0,0,0,0,0,0,0,0,64,128,255,128,64,0,0,0
0,0,0,0,0,0,0,0,0,64,128,255,128,64,0,0
0,0,0,0,0,0,0,0,0,0,64,128,255,128,64,0
0,0,0,0,0,0,0,0,0,0,0,64,128,255,128,64
0,0,0,0,0,0,0,0,0,0,0,0,64,128,255,128
0,0,0,0,0,0,0,0,0,0,0,0,0,64,128,255
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
